Name,URL,Description,Logo,Users,Active Users
mastodon.social,https://mastodon.social,The original server operated by the Mastodon gGmbH non-profit,https://files.mastodon.social/site_uploads/files/000/000/001/@1x/57c12f441d083cde.png,1102876,125330.0
pawoo.net,https://pawoo.net,,https://img.pawoo.net/site_uploads/files/000/000/001/original/pawoo_ogp2.png,859364,28970.0
mstdn.jp,https://mstdn.jp,"Mastodon日本鯖です．
よろしくお願いいたします。

(Maintained by Sujitech, LLC)",https://mstdn.jp/packs/media/images/preview-6399aebd96ccf025654e2977454f168f.png,348214,19728.0
baraag.net,https://baraag.net,"By clicking past warnings of any sensitive content, you affirm to be 18 years of age or older, and agree to the Terms of Service.",https://media.baraag.net/site_uploads/files/000/000/006/@1x/64e596b00bd1c7bb.png,293597,56.0
mastodon.cloud,https://mastodon.cloud,"Everyone is welcome as long as you follow our code of conduct! Thank you.

Mastodon.cloud is maintained by Sujitech, LLC.
",https://media.mastodon.cloud/site_uploads/files/000/000/001/@1x/ZkJtnD8w.png,251954,4235.0
mstdn.social,https://mstdn.social,A general-purpose Mastodon server with a 500 character limit. All languages are welcome.,https://media.mstdn.social/site_uploads/files/000/000/004/@1x/c11a2dab9bb53abc.png,196347,21077.0
mastodon.online,https://mastodon.online,A newer server operated by the Mastodon gGmbH non-profit,https://files.mastodon.online/site_uploads/files/000/000/001/@1x/dac498d1edf4191b.png,175855,16061.0
counter.social,https://counter.social,,https://counter.social/system/site_uploads/files/000/000/001/original/counter.social-og-meta-image.png?1511132467,167855,
mastodon.world,https://mastodon.world,Generic Mastodon server for anyone to use.,https://s3.eu-central-2.wasabisys.com/mastodonworld/site_uploads/files/000/000/004/@1x/885a3f13bac1c0f5.png,163179,17082.0
mas.to,https://mas.to,"Hello! mas.to is a fast, up-to-date and fun Mastodon server.",https://media.mas.to/masto-public/site_uploads/files/000/000/004/@1x/0df1671fc18e31bb.png,158417,17003.0
gc2.jp,https://gc2.jp,GC2はYouTubeやTwitterといった既存のSNSより言論の自由を尊重したSNSです。,https://media.gc2.jp/site_uploads/files/000/000/004/original/gc2_thumbnail.jpg,100209,
